Department Name,Classification Name,Job Pay Rate,Job Start Date,Yrs Svc,Job Employer Status,Address Zip Code
FINANCIAL SERVICES,"DIRECTOR, DECISION S",78.802,11/27/2000,20.25,Active Full Time,92656
NURSING ADMINISTRATI,"DIRECTOR, EMERGENCY",101.805,11/12/2007,13.25,Active Full Time,91763
EVS,"DIRECTOR, ENVIRONMEN",57.789,11/1/2006,14.25,Active Full Time,91010
ENVIRONMENTAL SAFETY,"DIRECTOR, ENVIRONMEN",72.819,2/17/2012,9.0,Active Full Time,91755
PLANT OPERATIONS,"DIRECTOR, FACILITIES",66.342,7/7/2005,15.583,Active Full Time,92509
SATELLITE DIVISION,"DIRECTOR, FAMILY HEA",75.882,9/11/1989,31.417,Active Full Time,91767
FINANCIAL SERVICES,"DIRECTOR, FINANCE",98.558,5/21/2018,2.75,Active Full Time,91711
FOOD & NUTRITION SER,"DIRECTOR, FOOD & NUT",76.642,6/30/2008,12.667,Active Full Time,91784
HEALTH INFO MGNT,"DIRECTOR, HEALTH INF",88.549,7/21/2014,6.583,Active Full Time,90712
HUMAN RESOURCES,"DIRECTOR, HUMAN RESO",90.724,10/12/2009,11.333,Active Full Time,91709
HUMAN RESOURCES,"DIRECTOR, HUMAN RESO",86.238,6/28/2019,1.667,Active Full Time,92507
INFECTION CONTROL,"DIRECTOR, INFECTION",81.432,1/2/2002,19.083,Active Full Time,91711
LABORATORY,"DIRECTOR, LABORATORY",86.287,9/4/2018,2.417,Active Full Time,91010
NURSING ADMINISTRATI,"DIRECTOR, LDRP",89.234,6/13/1994,26.667,Active Full Time,91740
FINANCE ADMINISTRATI,"DIRECTOR, MANAGED CA",108.222,5/18/1987,33.75,Active Full Time,91105
NURSING ADMINISTRATI,"DIRECTOR, NURSING AD",94.375,4/14/1986,34.833,Active Full Time,91709
NURSING ADMINISTRATI,"DIRECTOR, PERIOPERAT",94.375,2/7/1991,30.0,Active Full Time,91765
PHARMACY,"DIRECTOR, PHARMACY",110.392,10/3/2016,4.333,Active Full Time,91801
PHYSICAL THERAPY,"DIRECTOR, PHYSICAL T",124.378,10/6/1980,40.333,Active Full Time,91711
QUALITY MANAGEMENT,"DIRECTOR, QUALITY MA",81.818,7/10/2000,20.583,Active Full Time,91768
RADIOLOGY-ADMIN,"DIRECTOR, RADIOLOGY",85.037,11/17/1997,23.25,Active Full Time,91709
FINANCIAL SERVICES,"DIRECTOR, REGULATORY",98.726,7/10/1989,31.583,Active Full Time,92660
RESPIRATORY SERVICES,"DIRECTOR, RESPIRATOR",68.483,4/5/2004,16.833,Active Full Time,91786
BUSINESS SERVICES SY,"DIRECTOR, REVENUE CY",89.729,2/3/2003,18.0,Active Full Time,91710
SECURITY,"DIRECTOR, SECURITY",69.008,7/5/2017,3.583,Active Full Time,91710
SLEEP CENTER,"DIRECTOR, SLEEP CENT",70.574,8/28/2013,7.5,Active Full Time,91741
MATERIALS MGNT ADMIN,"DIRECTOR, SUPPLY CHA",84.192,10/29/2018,2.333,Active Full Time,91006
INFORMATION SERVICES,"DIRECTOR, TECHNICAL",81.01,9/14/2020,0.417,Active Full Time,92647
SECURITY,"DISPATCHER, SECURITY",22.446,1/4/2021,0.083,Active Part Time,91730
SECURITY,"DISPATCHER, SECURITY",21.377,3/12/2018,2.917,Active Full Time,91762
SECURITY,"DISPATCHER, SECURITY",22.446,7/18/2001,19.583,Active Full Time,92509
SECURITY,"DISPATCHER, SECURITY",22.446,3/28/2001,19.917,Active Full Time,92335
SECURITY,"DISPATCHER, SECURITY",15.95,11/16/2020,0.25,Active Part Time,91709
SECURITY,"DISPATCHER, SECURITY",22.446,8/24/2020,0.5,Active Part Time,91711
SECURITY,"DISPATCHER, SECURITY",20.359,8/12/2019,1.5,Active Part Time,91702
RADIATION ONCOLOGY,"DOSIMETRIST, CERTIFI",74.68,11/14/2002,18.25,Active Full Time,90603
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,38.214,2/11/2019,2.0,Active Full Time,92506
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,42.131,4/10/2017,3.833,Active Part Time,92404
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,40.124,4/2/2018,2.833,Active Full Time,90650
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,51.21,5/9/2011,9.75,RPT - LOA > 30 da,91711
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,51.21,12/11/2006,14.167,Active Part Time,91711
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,51.21,10/8/2018,2.333,Active Regular Pa,91711
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,53.771,2/23/1989,32.0,Active Part Time,92881
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,51.21,7/13/2020,0.583,Active Part Time,91710
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,51.21,5/9/2016,4.75,Active Part Time,91206
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,36.395,1/24/2018,3.083,Active Full Time,91764
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,44.238,4/8/2002,18.833,Active Full Time,91701
EMERGENCY DEPT,EDT,18.162,11/9/2020,0.25,Active Part Time,91701
EMERGENCY DEPT,EDT,24.34,7/13/2015,5.583,RFT - LOA > 30 da,91701
EMERGENCY DEPT,EDT,22.076,7/11/2016,4.583,Active Full Time,91710
EMERGENCY DEPT,EDT,25.556,8/14/2017,3.5,Active Full Time,92879
EMERGENCY DEPT,EDT,21.025,11/12/2020,0.25,Active Part Time,91730
EMERGENCY DEPT,EDT,18.162,11/12/2020,0.25,Active Part Time,92503
EMERGENCY DEPT,EDT,22.076,1/11/2016,5.083,Active Full Time,91761
EMERGENCY DEPT,EDT,21.025,11/9/2015,5.25,Active Full Time,91767
EMERGENCY DEPT,EDT,25.556,12/12/2011,9.167,Active Full Time,91730
EMERGENCY DEPT,EDT,25.556,4/11/2011,9.833,RPT - LOA > 30 da,91710
EMERGENCY DEPT,EDT,20.024,11/9/2020,0.25,Active Part Time,91761
EMERGENCY DEPT,EDT,25.556,1/28/2013,8.083,Active Part Time,91730
EMERGENCY DEPT,EDT,20.024,10/14/2019,1.333,Active Part Time,91764
EMERGENCY DEPT,EDT,21.025,4/8/2019,1.833,Active Part Time,91784
EMERGENCY DEPT,EDT,25.556,1/14/2008,13.083,Active Regular Pa,92320
EMERGENCY DEPT,EDT,19.07,10/14/2019,1.333,Active Part Time,91750
EMERGENCY DEPT,EDT,20.024,5/13/2019,1.75,Active Full Time,92377
EMERGENCY DEPT,EDT,21.025,4/8/2019,1.833,Per Diem - LOA,91711
EMERGENCY DEPT,EDT,26.834,10/13/1986,34.333,Active Full Time,92553
EMERGENCY DEPT,EDT,25.556,8/13/2018,2.5,Active Full Time,91722
EMERGENCY DEPT,EDT,25.556,9/8/2008,12.417,Active Part Time,91701
EMERGENCY DEPT,EDT,22.076,9/12/2016,4.417,Active Part Time,91762
EMERGENCY DEPT,EDT,20.024,8/13/2018,2.5,Active Part Time,91701
EMERGENCY DEPT,EDT,25.556,5/12/2008,12.75,Active Part Time,92336
EMERGENCY DEPT,EDT,21.025,7/10/2017,3.583,Active Regular Pa,91762
EMERGENCY DEPT,EDT,21.025,7/13/2015,5.583,Active Full Time,91764
EMERGENCY DEPT,EDT,19.07,1/14/2019,2.083,Active Part Time,91737
EMERGENCY DEPT,EDT,19.07,6/10/2019,1.667,Active Regular Pa,92562
EMERGENCY DEPT,EDT,25.556,12/12/2011,9.167,Active Regular Pa,92336
EMERGENCY DEPT,EDT,25.556,7/9/2018,2.583,Per Diem - LOA,90602
EMERGENCY DEPT,EDT,25.556,5/13/2013,7.75,Active Full Time,92374
EMERGENCY DEPT,EDT,20.024,8/13/2018,2.5,Active Full Time,92508
EMERGENCY DEPT,EDT,25.556,2/10/2020,1.0,Active Part Time,90723
EMERGENCY DEPT,EDT,25.556,8/11/2014,6.5,Active Regular Pa,91791
EMERGENCY DEPT,EDT,25.556,5/13/2013,7.75,Active Full Time,92532
EMERGENCY DEPT,EDT,21.025,4/10/2017,3.833,RFT - LOA Workers,91767
EMERGENCY DEPT,EDT,18.162,11/9/2020,0.25,Active Part Time,91773
EMERGENCY DEPT,EDT,24.34,5/18/2015,5.75,Active Regular Pa,92617
EMERGENCY DEPT,EDT,24.34,7/13/2015,5.583,Active Full Time,91773
EMERGENCY DEPT,EDT,25.556,4/8/2019,1.833,Active Part Time,91741
EMERGENCY DEPT,EDT,25.556,1/9/2012,9.083,Active Full Time,92571
EMERGENCY DEPT,EDT,18.162,2/10/2020,1.0,Active Part Time,92366
EMERGENCY DEPT,EDT,22.076,11/12/2012,8.25,Active Full Time,91752
EMERGENCY DEPT,EDT,25.556,2/13/2012,9.0,Active Full Time,92373
EMERGENCY DEPT,EDT,25.556,10/2/2006,14.333,Active Full Time,92337
EMERGENCY DEPT,EDT,21.025,7/10/2017,3.583,Active Full Time,92571
EMERGENCY DEPT,EDT,25.556,7/2/2003,17.583,Active Full Time,91766
EMERGENCY DEPT,EDT,25.556,1/9/2017,4.083,Active Regular Pa,91740
EMERGENCY DEPT,EDT,23.181,5/18/2015,5.75,Active Part Time,91739
EMERGENCY DEPT,EDT,21.025,4/10/2017,3.833,Active Full Time,92336
EMERGENCY DEPT,EDT,22.076,7/30/2018,2.583,Active Part Time,91706
EMERGENCY DEPT,EDT,25.556,5/14/2007,13.75,Active Regular Pa,92395
EMERGENCY DEPT,EDT,25.556,10/11/1999,21.333,Active Full Time,92313
EMERGENCY DEPT,EDT,21.025,5/31/2016,4.75,Active Full Time,91761
EMERGENCY DEPT,EDT,22.076,10/19/2020,0.333,Active Part Time,91767
EDUCATION,EDUCATOR,75.143,8/8/2005,15.5,Active Full Time,91739
EDUCATION,EDUCATOR,75.143,3/31/2016,4.917,Active Full Time,91741
EDUCATION,EDUCATOR,78.9,7/17/1989,31.583,Active Regular Pa,91789
FAMILY ED & RESOURCE,"EDUCATOR, (NON RN)",41.885,12/21/1997,23.167,Active Per Diem,91710
FAMILY ED & RESOURCE,"EDUCATOR, (NON RN)",41.885,8/13/2007,13.5,Active Per Diem,91764
UTILIZATION MANAGEME,"EDUCATOR, CASE MANAG",75.143,8/17/2020,0.5,RPT - LOA > 30 da,92220
PLANT OPERATIONS,ELECTRICIAN,37.358,4/14/2003,17.833,Active Full Time,91767
DIALYSIS,"ENGINEER, DIALYSIS M",39.141,7/10/2000,20.583,Active Full Time,92337
PLANT MAINTENANCE BI,"ENGINEER, RADIOLOGY",60.12,12/4/2017,3.167,Active Full Time,92308
PLANT OPERATIONS,"ENGINEER, STATIONARY",39.558,6/5/2017,3.667,Active Full Time,91701
PLANT OPERATIONS,"ENGINEER, STATIONARY",41.536,4/30/2012,8.833,Active Full Time,91701
PLANT OPERATIONS,"ENGINEER, STATIONARY",43.613,2/4/1973,48.0,Active Full Time,91762
PLANT OPERATIONS,"ENGINEER, STATIONARY",30.994,6/12/2017,3.667,Active Part Time,91762
PLANT OPERATIONS,"ENGINEER, STATIONARY",41.536,5/8/2001,19.75,Active Full Time,92336
PLANT OPERATIONS,"ENGINEER, STATIONARY",43.613,9/17/1990,30.417,Active Full Time,92336
PLANT OPERATIONS,"ENGINEER, STATIONARY",41.536,10/18/2000,20.333,Active Part Time,91740
PLANT OPERATIONS,"ENGINEER, STATIONARY",41.536,4/7/1997,23.833,Active Full Time,91755
EVS,EVS ASSOC I,21.562,12/12/1994,26.167,RFT - LOA > 30 da,92407
EVS,EVS ASSOC I,20.535,9/14/2020,0.417,Active Part Time,91710
EVS,EVS ASSOC I,16.896,7/10/2017,3.583,Active Full Time,91786
EVS,EVS ASSOC I,20.535,12/1/2005,15.167,Active Full Time,91768
EVS,EVS ASSOC I,16.091,8/28/2018,2.5,Active Part Time,91730
EVS,EVS ASSOC I,15.321,11/11/2019,1.25,Per Diem - LOA,91750
EVS,EVS ASSOC I,20.535,4/26/2006,14.833,RFT - LOA > 30 da,91761
EVS,EVS ASSOC I,16.896,5/30/2017,3.75,Active Full Time,92335
EVS,EVS ASSOC I,20.535,1/20/1997,24.083,Active Full Time,91767
EVS,EVS ASSOC I,16.896,5/1/2017,3.75,Active Full Time,91701
EVS,EVS ASSOC I,20.535,3/26/2003,17.917,Active Full Time,91710
EVS,EVS ASSOC I,20.535,5/8/2006,14.75,Active Full Time,91786
EVS,EVS ASSOC I,16.896,6/2/2017,3.667,Active Full Time,92336
EVS,EVS ASSOC I,17.74,4/24/2016,4.833,Active Full Time,91706
EVS,EVS ASSOC I,20.535,3/11/1996,24.917,RFT - LOA > 30 da,91761
EVS,EVS ASSOC I,16.896,6/12/2017,3.667,Active Part Time,92407
EVS,EVS ASSOC I,15.321,10/5/2020,0.333,Active Part Time,92394
EVS,EVS ASSOC I,14.595,9/14/2020,0.417,Active Part Time,91768
EVS,EVS ASSOC I,16.091,4/9/2018,2.833,Active Full Time,91762
EVS,EVS ASSOC I,20.535,1/8/2007,14.083,Active Full Time,91748
EVS,EVS ASSOC I,14.595,8/25/2020,0.5,Active Part Time,91768
EVS,EVS ASSOC I,20.535,9/11/2006,14.417,Active Full Time,91767
EVS,EVS ASSOC I,16.896,10/1/2019,1.333,Active Full Time,91762
EVS,EVS ASSOC I,14.595,4/21/2020,0.833,Active Full Time,91762
EVS,EVS ASSOC I,20.535,5/13/1996,24.75,Active Full Time,91763
EVS,EVS ASSOC I,20.535,7/10/2006,14.583,Active Full Time,91763
EVS,EVS ASSOC I,15.321,10/1/2019,1.333,Active Part Time,91762
EVS,EVS ASSOC I,19.558,7/8/2014,6.583,Active Full Time,91767
EVS,EVS ASSOC I,16.091,8/28/2018,2.5,Active Part Time,91768
EVS,EVS ASSOC I,14.595,11/9/2020,0.25,Active Part Time,91767
EVS,EVS ASSOC I,17.74,4/30/2019,1.833,Active Part Time,91708
EVS,EVS ASSOC I,17.74,2/8/2016,5.0,Active Full Time,91768
EVS,EVS ASSOC I,16.091,2/15/2018,3.0,Active Full Time,91730
EVS,EVS ASSOC I,15.321,4/7/2020,0.833,Active Part Time,92407
EVS,EVS ASSOC I,20.535,7/28/2000,20.583,RFT - LOA Workers,92335
EVS,EVS ASSOC I,20.535,3/14/2005,15.917,Active Full Time,91766
EVS,EVS ASSOC I,15.321,10/1/2019,1.333,Active Full Time,91766
EVS,EVS ASSOC I,18.626,3/30/2015,5.917,Active Full Time,91767
EVS,EVS ASSOC I,16.896,5/30/2017,3.75,Active Full Time,92377
EVS,EVS ASSOC I,16.091,12/4/2018,2.167,Active Part Time,91767
EVS,EVS ASSOC I,18.626,2/9/2015,6.0,Active Full Time,91768
EVS,EVS ASSOC I,15.321,8/6/2019,1.5,Active Part Time,91711
EVS,EVS ASSOC I,16.091,4/9/2018,2.833,Active Full Time,92410
EVS,EVS ASSOC I,15.321,2/25/2020,1.0,Active Part Time,91767
EVS,EVS ASSOC I,14.595,10/5/2020,0.333,Active Part Time,92553
EVS,EVS ASSOC I,20.535,11/10/2003,17.25,Active Full Time,91762
EVS,EVS ASSOC I,20.535,3/31/2015,5.917,Active Full Time,91786
EVS,EVS ASSOC I,18.626,2/19/2015,6.0,RFT - LOA > 30 da,91767
EVS,EVS ASSOC I,16.896,3/8/2006,14.917,RFT - LOA > 30 da,91763
EVS,EVS ASSOC I,15.321,8/6/2019,1.5,Active Part Time,91786
EVS,EVS ASSOC I,21.562,9/16/1986,34.417,Active Full Time,91701
EVS,EVS ASSOC I,15.321,4/30/2019,1.833,Active Part Time,92336
EVS,EVS ASSOC I,14.595,12/7/2020,0.167,Active Part Time,91730
EVS,EVS ASSOC I,20.535,3/24/2002,18.917,Active Full Time,92585
EVS,EVS ASSOC I,20.535,1/9/2006,15.083,Active Full Time,91763
EVS,EVS ASSOC I,17.74,8/6/2019,1.5,Active Part Time,91767
EVS,EVS ASSOC I,18.626,2/26/2017,4.0,Active Full Time,91752
EVS,EVS ASSOC I,20.535,6/9/2003,17.667,Active Full Time,92335
EVS,EVS ASSOC I,20.535,1/14/2008,13.083,Active Full Time,91764
EVS,EVS ASSOC I,17.74,7/11/2016,4.583,Active Regular Pa,91766
EVS,EVS ASSOC I,14.595,2/25/2020,1.0,Active Part Time,91737
EVS,EVS ASSOC I,20.535,1/24/2008,13.083,Active Full Time,91766
EVS,EVS ASSOC I,20.535,2/8/2010,11.0,Active Full Time,91730
EVS,EVS ASSOC I,18.626,4/13/2015,5.833,Active Full Time,91762
EVS,EVS ASSOC I,20.535,8/2/2000,20.5,RFT - LOA Workers,91710
EVS,EVS ASSOC I,20.535,6/14/2005,15.667,RFT - LOA Workers,91739
EVS,EVS ASSOC I,20.535,6/11/2018,2.667,Per Diem - LOA,92503
EVS,EVS ASSOC I,20.535,8/29/2007,13.5,Active Full Time,91767
EVS,EVS ASSOC I,20.535,11/9/2006,14.25,RFT - LOA > 30 da,92545
EVS,EVS ASSOC I,15.321,7/19/2005,15.583,Per Diem - LOA,91710
EVS,EVS ASSOC I,15.321,11/11/2019,1.25,Active Full Time,91767
EVS,EVS ASSOC I,19.558,6/10/2019,1.667,Active Full Time,91768
EVS,EVS ASSOC I,14.595,4/21/2020,0.833,Active Part Time,91767
EVS,EVS ASSOC I,15.321,8/6/2019,1.5,Active Part Time,91766
EVS,EVS ASSOC I,15.321,12/1/2020,0.167,Active Part Time,91740
EVS,EVS ASSOC I,20.535,3/3/2006,14.917,Active Full Time,91768
EVS,EVS ASSOC I,15.321,9/9/2019,1.417,Active Full Time,91766
EVS,EVS ASSOC I,20.535,11/23/2004,16.25,Active Full Time,91766
EVS,EVS ASSOC I,14.595,10/5/2020,0.333,Active Part Time,91746
EVS,EVS ASSOC I,20.535,4/14/2008,12.833,RFT - LOA Workers,91763
EVS,EVS ASSOC I,16.091,7/10/2018,2.583,Active Part Time,91706
EVS,EVS ASSOC I,20.535,2/13/2006,15.0,Active Full Time,91763
EVS,EVS ASSOC I,20.535,9/12/2011,9.417,Active Full Time,92404
EVS,EVS ASSOC I,19.558,6/13/2016,4.667,Active Full Time,92392
EVS,EVS ASSOC I,20.535,5/5/1997,23.75,Active Full Time,92308
EVS,EVS ASSOC I,14.595,5/11/2020,0.75,Per Diem - LOA,92394
EVS,EVS ASSOC I,16.091,1/17/2018,3.083,Active Full Time,91768
EVS,EVS ASSOC I,20.535,7/3/2000,20.583,Active Full Time,92376
EVS,EVS ASSOC I,20.535,9/29/2001,19.417,Active Full Time,91766
EVS,EVS ASSOC I,15.321,4/8/2019,1.833,Active Part Time,91768
EVS,EVS ASSOC I,14.595,7/27/2020,0.583,Active Part Time,91784
EVS,EVS ASSOC I,15.321,8/25/2020,0.5,Active Part Time,92407
EVS,EVS ASSOC I,20.535,11/12/2001,19.25,Active Full Time,92376
EVS,EVS ASSOC I,17.74,10/14/2019,1.333,RPT - LOA > 30 da,91762
EVS,EVS ASSOC I,18.626,2/9/2015,6.0,Active Full Time,92316
EVS,EVS ASSOC I,16.091,4/25/2018,2.833,Active Full Time,91767
EVS,EVS ASSOC I,20.535,10/8/2012,8.333,Active Full Time,91763
EVS,EVS ASSOC I,15.321,10/1/2019,1.333,Active Part Time,91768
EVS,EVS ASSOC I,14.595,2/25/2020,1.0,Active Full Time,91766
EVS,EVS ASSOC I,15.321,1/4/2021,0.083,Active Part Time,91764
EVS,EVS ASSOC I,15.321,4/8/2019,1.833,Active Part Time,91750
EVS,EVS ASSOC I,20.535,3/11/2002,18.917,Active Full Time,92509
EVS,EVS ASSOC I,15.321,8/12/2019,1.5,Active Full Time,92553
EVS,EVS ASSOC II,23.443,2/24/1978,43.0,Active Full Time,91750
EVS,EVS ASSOC II,22.327,11/12/2018,2.25,Active Full Time,91711
EVS,EVS ASSOC II,22.327,4/4/2016,4.833,Active Full Time,92376
EVS,EVS ASSOC II,22.327,2/11/2005,16.0,Active Full Time,92335
EVS,EVS ASSOC II,19.287,12/12/2016,4.167,Active Full Time,92335
EVS,EVS ASSOC II,22.327,5/8/2017,3.75,Active Full Time,91786
EVS,EVS ASSOC II,22.327,12/21/2002,18.167,Active Full Time,91791
EVS,EVS ASSOC II,21.264,9/23/2014,6.417,Active Full Time,92324
EVS,EVS ASSOC II,18.369,10/1/2019,1.333,Active Part Time,91766
EVS,EVS ASSOC II,19.287,7/10/2017,3.583,Active Full Time,92376
EVS,EVS ASSOC II,22.327,10/13/2008,12.333,Active Full Time,92346
EVS,EVS ASSOC II,22.327,9/1/2000,20.417,Active Full Time,92335
EVS,EVS ASSOC II,19.287,3/18/2019,1.917,Active Full Time,92376
EVS,EVS ASSOC II,21.264,1/9/2017,4.083,Active Full Time,91701
EVS,EVS ASSOC II,23.443,11/21/1985,35.25,Active Full Time,91766
EVS,EVS ASSOC II,22.327,1/9/2017,4.083,Active Full Time,90723
EVS,EVS ASSOC II,23.443,2/3/1986,35.0,Active Full Time,92240
EVS,EVS ASSOC II,22.327,5/14/2007,13.75,Active Full Time,91768
EVS,EVS ASSOC II,16.661,7/9/2018,2.583,Per Diem - LOA,92336
NICU,"EVS ASSOC II, NICU",20.251,9/22/2014,6.417,Active Regular Pa,92583
NICU,"EVS ASSOC II, NICU",22.327,6/25/2007,13.667,Active Full Time,91784
EVS,EVS ASSOC III,25.477,9/11/2000,20.417,Active Full Time,92377
EVS,EVS ASSOC III,25.477,9/10/2007,13.417,Active Full Time,91766
EVS,EVS ASSOC III,25.477,2/11/2006,15.0,Active Full Time,91766
EVS,EVS ASSOC III,25.477,3/24/2004,16.917,Active Full Time,91768
EVS,EVS ASSOC III,25.477,11/12/2007,13.25,Active Full Time,91768
EVS,EVS ASSOC III,25.477,9/9/2002,18.417,Active Full Time,92505
EVS,EVS ASSOC III,24.264,5/14/2001,19.75,Active Regular Pa,91768
EVS,EVS ASSOC III,25.477,4/16/2004,16.833,Active Full Time,91761
FINANCE ADMINISTRATI,"EXAMINER, CLAIMS",26.387,10/14/2019,1.333,Active Full Time,91737
FINANCE ADMINISTRATI,"EXAMINER, SR CLAIMS",29.312,12/11/2017,3.167,Active Full Time,92509
RESOURCE CENTER,"EXEC SECR, RESOURCE",35.944,1/2/2019,2.083,Active Full Time,92553
FINANCIAL SERVICES,EXECUTIVE ASSISTANT,51.797,8/7/1972,48.5,Active Full Time,91730
PLANT OPERATIONS,"EXECUTIVE ASSISTANT,",33.541,1/4/2017,4.083,Active Full Time,90280
HUMAN RESOURCES,"EXECUTIVE ASSISTANT,",42.808,7/9/2007,13.583,Active Full Time,91730
INFORMATION SERVICES,"EXECUTIVE ASSISTANT,",42.808,12/26/2006,14.167,Active Full Time,91750
NURSING ADMINISTRATI,"EXECUTIVE ASSISTANT,",36.979,1/12/2015,6.083,Active Full Time,91708
FOOD & NUTRITION SER,EXECUTIVE CHEF,34.743,6/12/2002,18.667,Active Full Time,91766
NURSING ADMINISTRATI,"EXECUTIVE DIRECTOR,",91.942,10/14/1996,24.333,Active Full Time,92557
INFORMATION SERVICES,"EXECUTIVE DIRECTOR,",107.111,7/13/1998,22.583,Active Full Time,91789
FINANCIAL SERVICES,EXECUTIVE VICE PRESI,285.763,6/11/1979,41.667,Active Full Time,91711
FAMILY ED & RESOURCE,FAM BIRTH ASSIST,22.65,12/12/2005,15.167,Active Per Diem,91767
FAMILY ED & RESOURCE,FAM BIRTH ASSIST,22.65,12/14/2015,5.167,Active Per Diem,91765
FAMILY ED & RESOURCE,FAM BIRTH ASSIST,22.65,11/11/2019,1.25,Active Per Diem,91710
FAMILY MEDICINE RESI,"FELLOWSHIP, URGENT C",31.25,8/1/2020,0.5,Active Full Time,91766
FAMILY MEDICINE RESI,"FELLOWSHIP, URGENT C",31.25,8/1/2020,0.5,Active Full Time,91709
FNS DINING SERVICES,FOOD SERV ASSOC,19.472,6/11/2001,19.667,Active Full Time,91762
FOOD & NUTRITION SER,FOOD SERV ASSOC,16.02,2/1/2017,4.0,Active Full Time,91748
FNS DINING SERVICES,FOOD SERV ASSOC,16.821,7/11/2016,4.583,Active Regular Pa,91768
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,11/16/1999,21.25,Active Full Time,91766
FNS DINING SERVICES,FOOD SERV ASSOC,19.472,3/5/2004,16.917,Active Full Time,91762
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,2/23/2005,16.0,Active Part Time,91767
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,9/5/2003,17.417,Active Full Time,91763
FNS DINING SERVICES,FOOD SERV ASSOC,19.472,3/19/2002,18.917,Active Full Time,92377
FOOD & NUTRITION SER,FOOD SERV ASSOC,16.821,4/10/2017,3.833,Active Full Time,92376
FNS DINING SERVICES,FOOD SERV ASSOC,20.446,2/21/1994,27.0,Active Full Time,92509
FNS DINING SERVICES,FOOD SERV ASSOC,14.53,12/2/2020,0.167,Active Part Time,91768
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,2/10/2020,1.0,Active Part Time,91767
FNS CATERING,FOOD SERV ASSOC,19.472,8/14/2006,14.5,Active Full Time,92345
FOOD & NUTRITION SER,FOOD SERV ASSOC,14.53,6/5/2019,1.667,Active Part Time,91766
FOOD & NUTRITION SER,FOOD SERV ASSOC,14.53,12/21/2020,0.167,Active Part Time,91789
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,11/29/2013,7.25,Active Full Time,91737
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,5/28/2019,1.75,Active Regular Pa,91010
FOOD & NUTRITION SER,FOOD SERV ASSOC,24.303,7/12/2002,18.583,Active Full Time,91786
FOOD & NUTRITION SER,FOOD SERV ASSOC,16.02,9/11/2020,0.417,Active Part Time,91711
FOOD & NUTRITION SER,FOOD SERV ASSOC,17.662,4/29/2015,5.833,Active Full Time,91763
FOOD & NUTRITION SER,FOOD SERV ASSOC,14.53,9/29/2020,0.417,Active Part Time,91764
FOOD & NUTRITION SER,FOOD SERV ASSOC,14.53,11/15/2019,1.25,Active Regular Pa,91766
FOOD & NUTRITION SER,FOOD SERV ASSOC,23.146,2/14/2007,14.0,Active Full Time,91786
FNS DINING SERVICES,FOOD SERV ASSOC,18.545,11/9/2016,4.25,Active Part Time,92411
FNS DINING SERVICES,FOOD SERV ASSOC,19.472,7/2/2008,12.583,Active Full Time,91767
FOOD & NUTRITION SER,FOOD SERV ASSOC,14.53,4/23/2019,1.833,Active Part Time,91768
FNS DINING SERVICES,FOOD SERV ASSOC,14.53,8/12/2019,1.5,Active Part Time,91767
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,12/14/2015,5.167,Active Full Time,91766
FOOD & NUTRITION SER,FOOD SERV ASSOC,16.02,6/12/2018,2.667,Active Regular Pa,91767
FOOD & NUTRITION SER,FOOD SERV ASSOC,16.02,9/21/2020,0.417,Active Part Time,91766
FNS DINING SERVICES,FOOD SERV ASSOC,19.472,10/7/2004,16.333,Active Full Time,91766
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,9/15/2020,0.417,Active Part Time,92336
FNS DINING SERVICES,FOOD SERV ASSOC,16.821,5/8/2017,3.75,Active Part Time,91786
FNS DINING SERVICES,FOOD SERV ASSOC,19.472,7/13/2005,15.583,Active Part Time,91767
FOOD & NUTRITION SER,FOOD SERV ASSOC,19.472,8/4/2008,12.5,Active Regular Pa,91723
FOOD & NUTRITION SER,FOOD SERV ASSOC,20.446,4/24/1995,25.833,Active Full Time,91764
FOOD & NUTRITION SER,FOOD SERV ASSOC,14.53,9/8/2020,0.417,Active Part Time,91766
FNS CATERING,FOOD SERV ASSOC,16.02,2/13/2017,4.0,Active Part Time,91766
FOOD & NUTRITION SER,FOOD SERV ASSOC,14.53,3/11/2019,1.917,Active Part Time,91766
FNS DINING SERVICES,FOOD SERV ASSOC,19.472,5/16/2008,12.75,Active Full Time,91763
